label,reading,date,time,value,unit,cm
1,Ballot Detected,4/28/15,10:00:00,1430215200,distance,7
2,Ballot Detected,4/28/15,10:07:58,1430215678,distance,2
3,Ballot Detected,4/28/15,10:09:59,1430215799,distance,3
4,Ballot Detected,4/28/15,10:10:00,1430215800,distance,5
5,Ballot Detected,4/28/15,10:10:08,1430215808,distance,2
6,Ballot Detected,4/28/15,10:12:18,1430215938,distance,2
7,Ballot Detected,4/28/15,10:31:02,1430217062,distance,6
8,Ballot Detected,4/28/15,10:32:22,1430217142,distance,3
9,Ballot Detected,4/28/15,10:52:32,1430218352,distance,3
10,Ballot Detected,4/28/15,11:22:03,1430220123,distance,3
11,Ballot Detected,4/28/15,11:22:36,1430220156,distance,4
12,Ballot Detected,4/28/15,11:24:17,1430220257,distance,3
13,Ballot Detected,4/28/15,11:25:01,1430220301,distance,4
14,Ballot Detected,4/28/15,11:30:46,1430220646,distance,2
15,Ballot Detected,4/28/15,11:33:14,1430220794,distance,2
16,Ballot Detected,4/28/15,11:34:16,1430220856,distance,3
17,Ballot Detected,4/28/15,11:44:48,1430221488,distance,3
18,Ballot Detected,4/28/15,11:45:26,1430221526,distance,3
19,Ballot Detected,4/28/15,11:45:52,1430221552,distance,5
20,Ballot Detected,4/28/15,11:52:41,1430221961,distance,8
21,Ballot Detected,4/28/15,12:31:21,1430224281,distance,3
22,Ballot Detected,4/28/15,12:57:52,1430225872,distance,4
23,Ballot Detected,4/28/15,12:58:58,1430225938,distance,3
24,Ballot Detected,4/28/15,13:00:43,1430226043,distance,2
25,Ballot Detected,4/28/15,14:41:16,1430232076,distance,5
26,Ballot Detected,4/28/15,15:03:31,1430233411,distance,2
27,Ballot Detected,4/28/15,15:08:19,1430233699,distance,3
28,Ballot Detected,4/28/15,15:21:31,1430234491,distance,3
29,Ballot Detected,4/28/15,15:21:59,1430234519,distance,4
30,Ballot Detected,4/28/15,15:22:57,1430234577,distance,5
31,Ballot Detected,4/28/15,15:23:00,1430234580,distance,3
32,Ballot Detected,4/28/15,15:36:03,1430235363,distance,2
33,Ballot Detected,4/28/15,15:49:52,1430236192,distance,4
34,Ballot Detected,4/28/15,15:50:37,1430236237,distance,5
35,Ballot Detected,4/28/15,15:51:59,1430236319,distance,5
36,Ballot Detected,4/28/15,15:52:59,1430236379,distance,6
37,Ballot Detected,4/28/15,15:57:24,1430236644,distance,3
38,Ballot Detected,4/28/15,15:59:29,1430236769,distance,3
